#z(m) u(m/s) V(1/s) T(K) rho(kg/m3) N2 H H2 O OH O2 H2O2 H2O HO2 CO CH3 CH2O CO2 CH4 C2H2 C2H4 CH2CO C2H6
0.007354573567708333 2.2727426876857697 0.0 974.0073276135341 0.34885669994452856 0.7129988972137636 4.9742516883323e-06 0.0010416998769855119 6.605392281317801e-06 6.87843582107362e-05 0.16864263083554226 8.911496821842892e-06 0.0275126575198786 0.0004914922626804739 0.030762259118077163 0.00038371253978611444 0.0015475600677066872 0.010679512367003766 0.0011057870366551733 0.0007781953284975398 0.04120331621087211 0.00031197866736091737 0.0024510254568619948
0.007355305989583333 2.286078070142231 0.0 979.535531332794 0.3468217136601316 0.7130106270445176 5.201649040357593e-06 0.0010448043000893953 6.952035242058662e-06 7.102091953827326e-05 0.16815138629076085 8.919550139114184e-06 0.027732308344435613 0.0004939815759364254 0.031077532666720118 0.0003918549393641803 0.0015524269160519964 0.010818182686594954 0.001113626619745258 0.0007879987764894498 0.04095492397301411 0.00031639976942479333 0.002461851943591333
0.007356038411458333 2.299439442225233 0.0 985.0722062110739 0.3448064338144897 0.7130229947032763 5.437407255040277e-06 0.0010479061274321737 7.315304937736241e-06 7.331331996694985e-05 0.1676576767094109 8.925572480833365e-06 0.027952580435648824 0.0004964060898788225 0.03139448790824797 0.0004001018763594389 0.0015570803417390858 0.010958062748750799 0.0011214117998652635 0.0007978886696584269 0.04070549415854314 0.0003208482200614582 0.0024720686072037946
0.007356770833333332 2.312825764604425 0.0 990.6168987847341 0.3428107408601896 0.7130360016457156 5.681729979584154e-06 0.001051005245836726 7.695898222694437e-06 7.566296641728557e-05 0.16716151676719765 8.929555331183445e-06 0.02817346454724828 0.0004987636136472999 0.031713112130458986 0.0004084505593000106 0.0015615214384035376 0.011099155839514088 0.0011291393096870797 0.0008078653734862138 0.040455048490294424 0.0003253228042530361 0.0024816620857439882
0.0073575032552083315 2.326235992475749 0.0 996.1691540851734 0.34083451395629866 0.7130496491337461 5.9348208703286564e-06 0.0010541015357416774 8.09453236611249e-06 7.807129985753021e-05 0.1666629215421512 8.931491447758197e-06 0.028394951273210362 0.0005010519433967705 0.032033392133979655 0.00041689798873739356 0.0015657514117024703 0.011241465167602493 0.001136805835342907 0.0008179292466098601 0.040203608901927756 0.00032982225127959475 0.00249061949078771
0.0073582356770833315 2.339669075954275 0.0 1001.7285158361408 0.3388776310249382 0.7130639382301716 6.196883356758776e-06 0.0010571948709580993 8.511945002050264e-06 8.053979425418238e-05 0.1661619065264884 8.931374849253838e-06 0.02861703104398594 0.0005032688669721414 0.03235531421786059 0.00042544095677705376 0.0015697715721840085 0.011384993861997003 0.001144408018507952 0.000828080640025546 0.03995119752640481 0.0003343452347318586 0.0024989284362500392
0.0073589680989583316 2.3531239531883705 0.0 1007.2945235346317 0.3369399698498671 0.7130788697934713 6.468120400437094e-06 0.0010602851184343726 8.948894034306786e-06 8.306995546926907e-05 0.1656584876373081 8.929200803875395e-06 0.028839694123353642 0.0005054121687605404 0.032678864165786 0.0004340760472115323 0.0015735833281393394 0.011529744969861987 0.0011519424586445303 0.0008383198962572831 0.03969783668368259 0.0003388903726088188 0.002506577066568288
0.007359700520833332 2.3665995419114965 0.0 1012.866708865936 0.33502140932492763 0.7130944444727307 6.748734249592126e-06 0.0010633721380294775 9.406157495821785e-06 8.566332010981414e-05 0.16515268122606977 8.924965818552895e-06 0.02906293060593951 0.0005074796347006386 0.033004027232948686 0.000442799636282202 0.0015771881784441056 0.011675721454823134 0.001159405715403617 0.0008486473484883176 0.03944354886764313 0.00034345622749899475 0.0025135540841385536
0.007360432942708332 2.3800947561497674 0.0 1018.4446028882252 0.3331218270990898 0.7131106627026479 7.038926187569092e-06 0.001066455782267361 9.884533358654452e-06 8.832145431113253e-05 0.16464450409140932 8.918667629100168e-06 0.02928673041332138 0.0005094690574099603 0.03333078813069916 0.00045160789401394943 0.001580587705363326 0.011822926194280431 0.0011667943111116773 0.0008590633195579008 0.03918835673463992 0.00034804130680129866 0.0025198487758225797
0.007361165364583332 2.3936085066345054 0.0 1024.0277362371373 0.3312410996362339 0.7131275246987498 7.338896277408921e-06 0.0010695358960966742 1.038483929520429e-05 9.104595247741613e-05 0.16413397349147052 8.910305191457592e-06 0.02951108329039727 0.0005113782414225662 0.033659131011451245 0.0004604967861963988 0.0015837835673716898 0.011971361976838462 0.0011741047334024588 0.000869568120895236 0.03893228309177222 0.00035264406301535915 0.002525451038528401
0.007361897786458332 2.4071397012137488 0.0 1029.6156393294407 0.3293791022744486 0.713145030452793 7.64884310289446e-06 0.0010726123166526285 1.0907912389505924e-05 9.383843598185106e-05 0.1636211071563009 8.899878674098739e-06 0.029735978801825276 0.0005132050085116514 0.03398903945351117 0.0004694620770138936 0.0015867774919972864 0.012121031499704461 0.0011813334379824258 0.0008801620513751347 0.03867535088519367 0.00035726289409380893 0.0025303514037629685
0.007362630208333332 2.4206872452616714 0.0 1035.207842565227 0.32753570928490716 0.7131631797283638 7.968963506741989e-06 0.001075684873021475 1.1454608798128918e-05 9.670055183152283e-05 0.1631059233002881 8.887389451665566e-06 0.029961406328547078 0.0005149472030738113 0.0343204964458734 0.00047849933233222404 0.0015895712687010548 0.01227193736605905 0.0011884768515268082 0.0008908453960908553 0.03841758318849635 0.00036189614385344663 0.0025345410610672246
0.007363362630208332 2.4342500420847584 0.0 1040.803876528074 0.325710793930376 0.7131819720567035 8.299452326662008e-06 0.00107875338600812 1.2025803360456113e-05 9.96339713025376e-05 0.16258844063461006 8.87284009987934e-06 0.03018735506440714 0.0005166026975514099 0.034653484373028176 0.00048760392364598904 0.0015921667418044053 0.012424082082404725 0.00119553137470277 0.0009016184250394301 0.03815900319121372 0.00036654210244218226 0.0025380118802470924
0.007364095052083332 2.447826993323618 0.0 1046.4032721826102 0.3239042285234137 0.7132014067327704 8.64050213005582e-06 0.00108181766790738 1.2622389158370026e-05 0.00010264038855095479 0.16206867837967207 8.856234391757595e-06 0.030413814012879792 0.0005181693978693269 0.034987984999827755 0.0004967710326862131 0.001594565803477693 0.012577468055897436 0.001202493385315731 0.0009124813917146307 0.037899634187487645 0.0003711990068587556 0.002540756432317369
0.007364827473958332 2.4614169993492987 0.0 1052.0055610689235 0.32211588448430284 0.7132214828115583 8.992302948152499e-06 0.001084877522279405 1.3245277025644079e-05 0.00010572151920528246 0.16154665627750095 8.837577295151089e-06 0.030640771983915967 0.0005196452488623644 0.03532397945645981 0.0005059956566834468 0.001596770386802554 0.012732097591666519 0.0012093592415744244 0.0009234345316025773 0.03763949956494539 0.00037586504152236136 0.002542768009079476
0.007365559895833332 2.4750189596529633 0.0 1057.6102754932506 0.32034563239876 0.7132421991046886 9.355042010423805e-06 0.0010879327437297841 1.3895395007611874e-05 0.00010887909894642374 0.16102239460406334 8.816874971598943e-06 0.030868217590921402 0.0005210282396697643 0.0356614482235781 0.0005152726142771191 0.0015987824589215143 0.012887972890128661 0.0012161252854698053 0.0009344780605748642 0.0373786227938344 0.00038053833888955057 0.0025440406412585454
0.007366292317708332 2.4886317732278482 0.0 1063.2169487144076 0.3185933420754562 0.7132635541772888 9.728903480141833e-06 0.0010909831176948706 1.45736877719711e-05 0.00011211488208107453 0.16049591418147513 8.794134776485026e-06 0.031096139247877984 0.0005223164090736216 0.036000371117641594 0.0005245965520574462 0.0016006040142887148 0.01304509604430138 0.0012227878462625053 0.0009456121731739539 0.037117027416462695 0.0003852169801160769 0.002544569115130223
0.007367024739583332 2.5022543389424055 0.0 1068.8251151254317 0.3168588826033742 0.7132855463451715 1.0114068191964511e-05 0.0010940284202328504 1.5281115971866304e-05 0.0001154306401146507 0.15996723639006522 8.769365260463941e-06 0.03132452516661947 0.0005235078507584858 0.03634072727651482 0.000533961951721787 0.0016022370680360705 0.013203469037121765 0.0012293432440730904 0.000956837040785504 0.03685473703699306 0.00038989899576173735 0.0025443489875729883
0.007367757161458332 2.515885555903644 0.0 1074.4343104299326 0.3151421224090188 0.7133081736723275 1.0510713392447911e-05 0.0010970684178210999 1.601865556268473e-05 0.00011882816032986219 0.15943638318025466 8.742576172111077e-06 0.031553363354272904 0.0005246007184700928 0.03668249514538218 0.0005433631378230284 0.0016036836494696493 0.013363093738776132 0.0012357877935689882 0.0009681528096922035 0.0365917753116396 0.0003945823665367038 0.002543376599487572
0.007368489583333332 2.5295243238096683 0.0 1080.0440718126804 0.31344292931349055 0.7133314339687425 1.091901248439005e-05 0.0011001028671603669 1.67872970742886e-05 0.0001223092443770447 0.15890337708421107 8.713778461737639e-06 0.031782641610876475 0.0005255932310519889 0.0370256524630309 0.0005527942860834414 0.001604945795711513 0.01352397190404641 0.0012421178077415477 0.0009795595990036627 0.036328165939313796 0.00039926502408835175 0.0025416490875312366
0.007369222005208332 2.54316954329054 0.0 1085.6539381039875 0.3117611705894185 0.7133553247885497 1.1339134775909367e-05 0.0011031315149863223 1.758804484069386e-05 0.00012587570688230436 0.1583682412272349 8.682984286298645e-06 0.03201234752718451 0.0005264836773397481 0.03737017624855646 0.0005622494322435284 0.001606025545502705 0.013686105169678898 0.0012483296017663614 0.000991057498456864 0.03606393265276699 0.0004039448518281584 0.0025391643941211953
0.007369954427083332 2.5568201162366666 0.0 1091.2634499374888 0.31009671301774056 0.7133798434285222 1.1771245235151376e-05 0.001106154097889035 1.8421916189486482e-05 0.00012952937407942144 0.15783099933883368 8.650207015309509e-06 0.03224246848266994 0.0005272704208935684 0.03771604278854521 0.0005717224814117159 0.0016069249331834136 0.01384949505178116 0.001254419496939615 0.001002646566081713 0.03579909921027407 0.0004086196857988515 0.002535921275668242
0.007370686848958332 2.5704749461139853 0.0 1096.8721499009632 0.308449422944311 0.7134049869269168 1.2215504251499308e-05 0.0011091703421409237 1.9289940593541244e-05 0.00013327208247129326 0.15729167576343728 8.615461237674839e-06 0.03247299164373398 0.0005279519045512125 0.03806322762478858 0.0005812072178774107 0.0016076459828666613 0.014014142943252563 0.0012603838246829536 0.0010143268257262643 0.035533689387901475 0.0004132873155826389 0.00253191930900873
0.007371419270833332 2.584132938265302 0.0 1102.479582679888 0.30681916633629946 0.7134307520626708 1.2672067404139e-05 0.0011121799635337307 2.0193158787871508e-05 0.00013710567752647597 0.15675029547070682 8.578762769321704e-06 0.03270390396213275 0.0005285266547845464 0.03841170554258295 0.0005906973153469316 0.0016081907028220857 0.014180050111254167 0.001266218930609059 0.0010260982644363082 0.03526772697240021 0.0004179454852520206 0.00252715889601028
0.007372151692708332 2.5977930001973486 0.0 1108.0852951934723 0.3052058088383451 0.7134571353549581 1.3141085238795582e-05 0.001115182667225099 2.1132621854691103e-05 0.00014103201241610626 0.15620688406538888 8.54012866151866e-06 0.03293519217362983 0.0005289932858442876 0.03876145055966828 0.0006001863475592195 0.0016085610800864753 0.014347217694723184 0.0012719211786398925 0.001037960829684121 0.03500123575476108 0.0004225918943653615 0.0025216412663339894
0.007372884114583332 2.6114540418530745 0.0 1113.6888367229697 0.30360921582840794 0.7134841330631052 1.3622703053418579e-05 0.0011181781475952909 2.210939028000755e-05 0.00014505294679615106 0.15566146779666387 8.499577209751312e-06 0.033166842796883436 0.0005293505036789972 0.03911243591585823 0.0006096677992360293 0.001608759075317739 0.014515646701937448 0.001277486955169359 0.0010499144264413944 0.03473423952446699 0.0004272241990100926 0.0025153684783433897
0.007373616536458332 2.6251149758689896 0.0 1119.2897590321195 0.30202925247326295 0.7135117411868682 1.4117060693545468e-05 0.0011211660881146328 2.3124532985289103e-05 0.00014917034563954992 0.1551140735669408 8.457127963015234e-06 0.033398842132576406 0.000529597109615813 0.03946463406341281 0.0006191350773195264 0.0016087866179088585 0.014685338008134886 0.0012829126732619592 0.001061958914091582 0.034466762064472294 0.0004318400128970678 0.002508343418157916
0.007374348958333332 2.638774717817344 0.0 1124.8876164796402 0.30046578378356503 0.7135399554670716 1.4624292358019913e-05 0.001124146161222232 2.4179126337954167e-05 0.00015338607812237983 0.15456472894004541 8.412801733377607e-06 0.0336311762627965 0.0005297320037919118 0.039818016658203344 0.0006285815224488909 0.0016086456013781093 0.014856292353192978 0.0012881947768788636 0.0010740941031772162 0.03419882714693574 0.0004364369085102486 0.0025005697968561403
0.007375081380208332 2.652432186433161 0.0 1130.4819661237361 0.29891867466841004 0.7135687713866051 1.5144526415682254e-05 0.0011271180282165381 2.527425314461928e-05 0.000157702016567698 0.15401346214875403 8.366620605649864e-06 0.03386383105067416 0.0005297541883271812 0.040172554551717775 0.0006380004206266439 0.0016083378790514513 0.015028510339372868 0.0012933297451227402 0.001086319751978107 0.03393045852972887 0.00044101241831648764 0.002492052145841428
0.007375813802083332 2.66608630382621 0.0 1136.0723678186566 0.29738778998931076 0.7135981841717761 1.567788523358593e-05 0.001130081339158309 2.641100163120984e-05 0.00016212003545020416 0.15346030210162234 8.318607947005413e-06 0.034096792140284334 0.0005296627702300784 0.04052821778395267 0.0006473850150249862 0.0016078652600524433 0.015201992429132642 0.00129831409649259 0.0010986355629167622 0.033661679953736756 0.00044556403604072885 0.002482795810389956
0.007376546223958332 2.6797359956781475 0.0 1141.658384303388 0.29587299461350025 0.7136281887940126 1.6224485017225732e-05 0.0011330357327865288 2.759046441418481e-05 0.00016664201046431753 0.15290527838906115 8.268788416368546e-06 0.03433004495681779 0.0005294569640301084 0.040884975577235354 0.0006567285178824422 0.001607229505614352 0.01537673894301392 0.001303144393139827 0.001111041178787878 0.033392515140963204 0.00045008921801243073 0.0024728069414081105
