z (m),u (m/s),V (1/s),T (K),rho (kg/m3),N2,H,H2,O,OH,O2,H2O2,H2O,HO2,CO,CH3,CH2O,CO2,CH4,C2H2,C2H4,CH2CO,C2H6,C,CH,HCO,TXCH2,SXCH2,C2H3,C2H5,HCCO,CH3CHO,CH2CHO,C2H5O
0.346875,0.494315769986405,0.0,298.0000000008587,1.1781106735982385,0.7273691709383944,1.1514347426409548e-27,4.908267029443507e-09,2.941072538482842e-25,1.505155833535039e-25,0.22097018271468805,8.736941811481003e-19,6.480367588061717e-14,3.98354160896363e-16,1.1405545191255289e-14,8.644889878083007e-17,8.628052414591679e-18,3.667761250147579e-17,1.600932710139899e-15,-6.676599950932156e-19,0.051660641438572234,-5.1249788315007415e-18,2.8088460464052257e-18,3.3848110572318756e-42,-8.736859385858213e-46,5.411408874633726e-26,1.262707997884291e-27,1.802345643801857e-35,3.2968333272569014e-26,8.36232111245014e-26,1.0762687672291868e-39,4.195220060770855e-17,2.805182499593055e-24,2.5307669941773907e-23
0.347265625,0.49431583436226256,0.0,298.0000000067851,1.1781105201702478,0.727369162827091,7.659719263162163e-27,1.4709715253249237e-08,1.9551313641535272e-24,9.99814205717953e-25,0.22097018098410648,3.2036530261370814e-17,5.006593115882484e-13,1.9672678916464794e-15,9.398508203663141e-14,5.745125886046753e-16,5.536871514565501e-17,3.6885161311659663e-16,1.2418664027025461e-14,2.4091455249406132e-17,0.0516606414784772,-4.867618155378764e-18,1.804813612017357e-17,2.164056713376013e-42,5.932672384733758e-43,3.595495523226654e-25,8.394098825163927e-27,3.5558755714463385e-34,2.190958199569677e-25,4.542786739633342e-25,-1.84805386866455e-39,4.242341039887127e-17,1.8631068354823484e-23,1.6703053800272453e-22
0.34765625,0.49431606129134126,0.0,298.0000000664508,1.178109979326939,0.727369134240137,7.161248322816559e-26,4.925053006979659e-08,1.8272956929190075e-23,9.343723406059383e-24,0.2209701748843247,3.6414892012360056e-16,4.776374401981922e-12,1.858264248526806e-14,9.693718369329127e-13,5.369327571397063e-15,7.012130120247162e-16,4.90964957595072e-15,1.1904110826566128e-13,3.4465346057090303e-16,0.051660641619112865,-7.799851351282509e-19,2.389602111205645e-16,1.8736689559597944e-42,-3.928714680515982e-44,3.3602399033873815e-24,7.845255419714417e-26,3.671957013589384e-33,2.0476426587290204e-24,4.275878676811269e-24,4.102688480656689e-37,4.9891250934223915e-17,1.741136168484576e-22,1.5599764115662885e-21
0.348046875,0.4943168616581588,0.0,298.0000006671456,1.1781080718052488,0.7273690334759004,7.005032816248566e-25,1.7097426839281987e-07,1.7858231877329815e-22,9.13158375668312e-23,0.2209701533765947,3.9035804813753105e-15,4.672089149827311e-11,1.9454591609771527e-13,1.0248941816326859e-11,5.247448284393391e-14,9.625626130196247e-15,6.698212589684238e-14,1.1699412497415726e-12,4.495048725234348e-15,0.051660642114761096,6.414351313432043e-17,3.4411033879595083e-15,-4.103463586624628e-42,1.0021654250006713e-42,3.2839585418079433e-23,7.667199684937084e-25,3.6268180286669597e-32,2.0011630065353272e-23,4.3737834566553466e-23,8.273800113543947e-35,1.6878008365081367e-16,1.7016033830995893e-21,1.5244555268876388e-20
0.34843749999999996,0.49431968880830335,0.0,298.00000671466444,1.1781013338814297,0.7273686781608243,6.89989854397675e-24,5.999367435637118e-07,1.7534969066337712e-21,8.966277203550542e-22,0.2209700774588719,4.1624576487389475e-14,4.581953272365569e-10,2.058071704301505e-12,1.0861764541036028e-10,5.152457805583213e-13,1.3294859958878688e-13,9.15511942611248e-13,1.152793277574832e-11,5.823139702671966e-14,0.051660643861444734,1.0953200495568793e-15,4.9856371419109346e-14,-3.628361073460649e-43,6.57587548111994e-43,3.2245132546833954e-22,7.52841412398425e-24,3.580273477150246e-31,1.964938917496321e-22,4.520386833832939e-22,2.153522636289384e-32,2.0662422008544963e-15,1.6708007182257355e-20,1.4968439135691022e-19
0.34882812499999993,0.49432971845030194,0.0,298.0000675955336,1.1780774309393731,0.7273674239065241,6.853192320839369e-23,2.111644772831105e-06,1.722603642118378e-20,8.808264127731846e-21,0.22096980863243218,4.436346459388648e-13,4.494786432824674e-09,2.179380322105268e-11,1.1513918348815906e-09,5.0616598927661044e-12,1.837147158652363e-12,1.2515006621879026e-11,1.1362049952890533e-10,7.539778951251058e-13,0.051660650013294375,1.747358750970465e-14,7.22654583961217e-13,-2.5579441391524957e-43,1.5452939589506396e-42,3.167703488441593e-21,7.395790928047731e-23,3.6671939910693856e-30,1.930321587940573e-21,4.6924533794422904e-21,8.241097415363555e-30,3.2396158363869574e-14,1.641361750813771e-19,1.4701723153282857e-18
0.3490234375,0.4943444778200361,0.0,298.000305021408,1.1780422577329175,0.7273656020074882,3.081017183375914e-22,4.298425446751762e-06,7.619727659918398e-20,3.891953339077204e-20,0.220969414694032,2.1005530516126243e-12,1.9849212562787867e-08,1.0264107444569071e-10,5.427067202557734e-09,2.2379716484950676e-11,1.0881713793560117e-11,7.342776196312089e-11,5.037357511946798e-10,4.219017881965715e-12,0.05166065887256853,1.170730648332456e-13,4.46390926609073e-12,-2.8866488293810106e-42,3.7955138591049254e-41,1.4001715060976957e-20,3.2714568812966937e-22,1.874318153407479e-29,8.534809316487252e-21,2.1797430477702118e-20,1.4539648918098935e-27,2.181621492293789e-13,7.250922761352137e-19,6.434522999114636e-18
0.34912109375,0.4943593320630881,0.0,298.00082729258145,1.1780068605534026,0.7273638147694921,8.3547573424372945e-22,6.426812760391977e-06,2.0337254414757638e-19,1.0371333270892174e-19,0.22096902091052617,5.92936306599232e-12,5.28906374142695e-08,2.884495616151303e-10,1.526178327308015e-08,5.969320976310741e-11,3.714412546535473e-11,2.485927523240462e-10,1.3466221572050264e-09,1.3713813672419087e-11,0.05166066733757553,4.4481534998079704e-13,1.580131797626582e-11,1.0805543161664332e-42,2.699162321572692e-40,3.733153284051743e-20,8.731673290004378e-22,6.45011411675615e-29,2.2765223596570732e-20,6.066955127620568e-20,7.222093599095078e-26,8.34033715609819e-13,1.931656068919431e-18,1.693529356022476e-17
0.34921874999999997,0.49438499437565964,0.0,298.00253298356046,1.1779457131063504,0.7273608605462158,2.5719673546293095e-21,9.898408787090518e-06,6.110810709465941e-19,3.1154042754836107e-19,0.22096834680704444,1.9002609226278707e-11,1.5870876708015007e-07,9.197775148628429e-10,4.870224599142403e-08,1.7932717048073744e-10,1.4757637654282125e-10,9.786104181385634e-10,4.055816617762806e-09,5.1568956261613085e-11,0.05166068040411556,1.9920359920666717e-12,6.538977577856518e-11,-1.2861029461788987e-42,2.4984563036845726e-39,1.1215250057913508e-19,2.6236743278837705e-21,3.3331749605810276e-28,6.839686351258161e-20,1.9237783907412741e-19,2.5565790363492136e-24,3.7625493660105105e-12,5.802258103473135e-18,5.0732831004716375e-17
0.34931640624999993,0.4944315330319024,0.0,298.0081025718242,1.1778348382794992,0.7273559201524666,8.390290512137169e-21,1.5561014033349382e-05,1.9187785705039587e-18,9.781271965815566e-19,0.2209671389490174,6.364083986058938e-11,4.976034878362808e-07,3.06489669177872e-09,1.6240919340258618e-07,5.629065861635752e-10,6.119418932175116e-10,4.021048656867259e-09,1.2763771106900679e-08,2.024961338048737e-10,0.051660698271829224,9.296252372969461e-12,2.822850357779575e-10,2.3781748366849657e-41,2.559215893582576e-38,3.521585818425708e-19,8.238578050096405e-21,2.4505486119649514e-27,2.1476735609409261e-19,6.497971909485694e-19,9.056663422851042e-23,1.768882795487469e-11,1.8218054787350222e-17,1.5915451801980491e-16
