#z(m) u(m/s) V(1/s) T(K) rho(kg/m3) N2 H H2 O OH O2 H2O2 H2O HO2 CO CH3 CH2O CO2 CH4 C2H2 C2H4 CH2CO C2H6 C CH HCO TXCH2 SXCH2 C2H3 C2H5 HCCO CH3CHO CH2CHO C2H5O
0.0072701822916666665 1.0873649167515287 0.0 480.02384796000786 0.7206354666972644 0.7147441163867382 2.052156168437581e-09 0.0006759778595502232 2.37216470426118e-09 6.628338606480152e-08 0.20693768636086182 2.762155015477321e-06 0.008022137920296917 0.00015338224987855145 0.006656712021575468 3.2991413269189815e-05 0.0004198278464970765 0.0015507600269466047 0.0003084826404316321 0.000117138384660841 0.059848755445867194 3.0879474211939316e-05 0.00041593519829334825 1.8679743388898309e-22 1.1443026382425034e-16 1.680110722963312e-08 1.3857102567672278e-10 8.19749489350005e-12 4.606821314184596e-10 1.4210456369592656e-06 5.989333050007021e-08 7.592826081390527e-05 1.8655569355440064e-06 3.091756410681965e-06
0.007270833333333333 1.0929420493330906 0.0 482.4361600740184 0.7169581632664604 0.7147188580880536 2.2338634825590257e-09 0.0006786902956672201 2.58199424439225e-09 7.19159168695339e-08 0.20677373377540184 2.8032014360065033e-06 0.008122255319131575 0.00015579520763354617 0.006755713568363955 3.3596235437462496e-05 0.0004275550912416941 0.001580200277059996 0.00031253471066707055 0.00011924955592147598 0.05977886647042988 3.1551287504625965e-05 0.00042426551550343904 2.4326252079504926e-22 1.371085519522391e-16 1.7942895133530165e-08 1.5236941763898343e-10 9.045324731019525e-12 5.081939927705844e-10 1.5403694806630846e-06 6.232946616738393e-08 7.75215043992913e-05 1.9876736399493175e-06 3.1241930932330945e-06
0.007271484375 1.0985733315689024 0.0 484.87159485777534 0.7132830382702171 0.7146936116645123 2.4306143976076802e-09 0.0006814052792751039 2.8097637771113607e-09 7.80201300870614e-08 0.2066079285340386 2.84470856764997e-06 0.008223210720646768 0.00015823473897625653 0.006855860797162485 3.421231004691129e-05 0.0004353898582202706 0.0016100953193941279 0.0003166244663784368 0.00012139143152004252 0.05970797748207678 3.2235189632556964e-05 0.00043272947292131677 3.1660237891521844e-22 1.642017172156206e-16 1.91559669999112e-08 1.675194148579903e-10 9.97970981446472e-12 5.606302967467886e-10 1.668490296289976e-06 6.485941018328875e-08 7.91416071309537e-05 2.1168741073466285e-06 3.1530589113915093e-06
0.007272135416666667 1.104258943436397 0.0 487.33021884661497 0.709610484866144 0.7146683802738593 2.6435605235678957e-09 0.0006841227987256063 3.0569289795749012e-09 8.463416560229468e-08 0.20644025775734592 2.8866784490975874e-06 0.008325006519077322 0.0001607007584426187 0.006957162229862173 3.483984162554669e-05 0.0004433326417596221 0.001640450227405575 0.00032075204473803917 0.00012356432853412945 0.059636078594081265 3.2931343254927154e-05 0.00044132837233979946 4.119283569135366e-22 1.9658202900384253e-16 2.0444456599854467e-08 1.8414962913997578e-10 1.1009434081465382e-11 6.18502623777171e-10 1.8059513473172824e-06 6.748657994900983e-08 8.07888935688371e-05 2.253508564741776e-06 3.1781659134918824e-06
0.0072734375 1.1157923556507106 0.0 492.31690346167613 0.7022755805024897 0.714618103081107 3.1204085176572917e-09 0.0006895513984840892 3.612604572642607e-09 9.947375766685015e-08 0.20610016015047583 2.9717924615937846e-06 0.008530593542384501 0.00016569905522979237 0.0071627223451719004 3.6126536657446786e-05 0.00045950171531568485 0.0017023946487700246 0.0003290995250081052 0.00012799268811537862 0.05948960050173562 3.4357198801620704e-05 0.00045888943793453524 6.879639548449943e-22 2.802639918981908e-16 2.325313068822356e-08 2.2216485607115058e-10 1.3378911958245944e-11 7.51882321372018e-10 2.109770249768125e-06 7.302845696792419e-08 8.415727139303786e-05 2.54937149209488e-06 3.2165038334144433e-06
0.007274088541666667 1.1216411304076108 0.0 494.84511319067974 0.6986135788436495 0.7145929379208684 3.3896327189119557e-09 0.0006922761283949993 3.9276458134629436e-09 1.0787003064295169e-07 0.20592686443520458 3.0151495531982085e-06 0.00863490024557388 0.00016824317432684747 0.007267507985345118 3.678944145411867e-05 0.0004677680107593801 0.0017341476215189543 0.0003333403310521068 0.00013025975111344127 0.05941463921005137 3.509075352701684e-05 0.00046789712107231054 8.938488370179877e-22 3.3502867197566667e-16 2.4793553550134562e-08 2.441052420703154e-10 1.4753055800991228e-11 8.295171340478169e-10 2.2785785429494223e-06 7.596761920724557e-08 8.588728283399219e-05 2.7103821879254917e-06 3.2294501110096186e-06
0.007274739583333334 1.1275446631634132 0.0 497.396658071897 0.6949558185138465 0.7145678031071466 3.680465279118056e-09 0.0006950031308269736 4.269018632005823e-09 1.1695721365568206e-07 0.20575166687151963 3.058972677538172e-06 0.008740047170032622 0.00017081306824426405 0.007373473073998487 3.746456058377171e-05 0.000476143018841669 0.0017663781721684476 0.0003376191262869606 0.0001325589174829267 0.059338634981481335 3.583715346725051e-05 0.00047704398349588854 1.1596262795958115e-21 4.0022915180441914e-16 2.6428110446707636e-08 2.6815807548026907e-10 1.6265392464927356e-11 9.15141690328154e-10 2.4591320093549753e-06 7.901857347643492e-08 8.764562085437594e-05 2.880344921074467e-06 3.238050253435668e-06
0.007276041666666667 1.1395149675524667 0.0 502.56953317519555 0.6876554908244332 0.7145177677967436 4.329910336093419e-09 0.000700449533876754 5.034798655975853e-09 1.3730936604234067e-07 0.20539646860355876 3.14778630380341e-06 0.008952304749789045 0.0001760159277093667 0.007588398461247324 3.8848351770183476e-05 0.000493174619262654 0.0018321132602103767 0.00034626818876539383 0.00013724211740716928 0.059183878315802046 3.7364932297229566e-05 0.0004957094141076203 1.9254260128575102e-21 5.681401533010066e-16 2.998596756592503e-08 3.2303219534075455e-10 1.973917072261188e-11 1.1122914968975342e-09 2.856380431719268e-06 8.545038110671523e-08 9.123871554241928e-05 3.2473687665268117e-06 3.2419201041777095e-06
0.00727734375 1.1517038743549295 0.0 507.83544826870957 0.6803777791986931 0.7144678970801039 5.085668670438206e-09 0.0007059039892200805 5.931312700411696e-09 1.6108597746306236e-07 0.20503366865780523 3.238440123068855e-06 0.009167873357286426 0.00018131752528354725 0.007808047239741579 4.028261258428496e-05 0.0005106334157752927 0.0018997810611408828 0.0003550673561264819 0.000142054952174108 0.05902491804323114 3.894500352133604e-05 0.0005149338608488653 3.1903819972097165e-21 8.047865845027802e-16 3.3982398054239246e-08 3.887732902267461e-10 2.3934364813118245e-11 1.3514816401650736e-09 3.3081724511269318e-06 9.237334038681728e-08 9.494647343659153e-05 3.65474551875252e-06 3.22779986649419e-06
0.007278645833333333 1.164111982525627 0.0 513.1945785037952 0.6731257268237741 0.7144182214406255 5.963491032074591e-09 0.0007113660032210095 6.979170543596959e-09 1.8882068736408988e-07 0.20466320251095801 3.3309320201906687e-06 0.009386749373190582 0.0001867155871686097 0.008032465639235575 4.176874638014767e-05 0.0005285173159605684 0.0019694159386460445 0.00036401673057587626 0.00014699950707497563 0.05886169218091618 4.0578540699621175e-05 0.0005347241302000669 5.263994636134823e-21 1.1369687853922002e-15 3.846799148504155e-08 4.673984953786317e-10 2.8992104392374084e-11 1.641307419418105e-09 3.820459023019903e-06 9.982212104590432e-08 9.87709951425471e-05 4.106112743453077e-06 3.1956741268383302e-06
